verdict,intent,command,risk,progress
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
SCAM,other_scam,EXTRACT,8.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,1.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
SCAM,other_scam,EXTRACT,9.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
SCAM,other_scam,EXTRACT,9.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
NO_SCAM,normal,ENGAGE,1.0,5/5
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,2.5,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
NO_SCAM,normal,ENGAGE,1.0,5/5
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
SCAM,other_scam,EXTRACT,5.0,5/17
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,8.5,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,2.5,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
NO_SCAM,normal,ENGAGE,1.0,5/5
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,8.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,1.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
SCAM,other_scam,EXTRACT,8.5,5/11
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,1.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,2.5,1/5
NO_SCAM,normal,ENGAGE,2.5,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,2.5,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
NO_SCAM,normal,EXTRACT,2.5,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,9.5,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
NO_SCAM,normal,ENGAGE,1.0,5/5
SCAM,other_scam,EXTRACT,8.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,8.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,2.4,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,1.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
SCAM,other_scam,EXTRACT,9.5,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
SCAM,other_scam,EXTRACT,5.0,3/14
NO_SCAM,normal,EXTRACT,1.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,2.5,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,2.5,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
NO_SCAM,normal,ENGAGE,1.0,5/5
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
SCAM,other_scam,EXTRACT,5.0,3/14
NO_SCAM,normal,EXTRACT,1.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,2.5,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
SCAM,other_scam,EXTRACT,5.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,9.5,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
SCAM,other_scam,EXTRACT,8.0,5/11
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
SCAM,other_scam,EXTRACT,8.0,5/8
SCAM,other_scam,EXTRACT,9.5,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,2.5,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,2.5,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,2.5,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
SCAM,other_scam,EXTRACT,5.0,3/14
SCAM,other_scam,EXTRACT,5.0,4/17
NO_SCAM,normal,EXTRACT,1.0,5/17
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,2.5,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,2.5,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
SCAM,other_scam,EXTRACT,5.0,5/8
NO_SCAM,normal,ENGAGE,2.5,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,1.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,2.4,1/5
SCAM,other_scam,EXTRACT,9.5,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,1.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,2.5,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
SCAM,other_scam,EXTRACT,5.0,5/17
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,2.5,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,2.5,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,2.5,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
SCAM,other_scam,EXTRACT,9.5,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,2.4,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
NO_SCAM,normal,ENGAGE,1.0,5/5
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
NO_SCAM,normal,ENGAGE,1.0,5/5
SCAM,other_scam,EXTRACT,9.5,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
SCAM,other_scam,EXTRACT,5.0,5/17
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,8.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
SCAM,other_scam,EXTRACT,8.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,2.5,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,2.5,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,8.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
SCAM,other_scam,EXTRACT,5.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,8.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
SCAM,other_scam,EXTRACT,5.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
NO_SCAM,normal,EXTRACT,1.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,8.5,4/14
NO_SCAM,normal,EXTRACT,1.0,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
SCAM,other_scam,EXTRACT,8.0,1/8
SCAM,other_scam,EXTRACT,5.0,2/11
SCAM,other_scam,EXTRACT,5.0,3/14
NO_SCAM,normal,EXTRACT,2.5,4/14
SCAM,other_scam,EXTRACT,5.0,5/17
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
NO_SCAM,normal,ENGAGE,1.0,4/5
NO_SCAM,normal,ENGAGE,1.0,5/5
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
NO_SCAM,normal,ENGAGE,1.0,3/5
SCAM,other_scam,EXTRACT,5.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,8.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
SCAM,other_scam,EXTRACT,5.0,5/11
NO_SCAM,normal,ENGAGE,1.0,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,9.5,3/11
NO_SCAM,normal,EXTRACT,1.0,4/11
SCAM,other_scam,EXTRACT,5.0,5/14
NO_SCAM,normal,ENGAGE,2.5,1/5
SCAM,other_scam,EXTRACT,5.0,2/8
SCAM,other_scam,EXTRACT,5.0,3/11
SCAM,other_scam,EXTRACT,5.0,4/14
NO_SCAM,normal,EXTRACT,2.1,5/14
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
SCAM,other_scam,EXTRACT,5.0,4/11
NO_SCAM,normal,EXTRACT,1.0,5/11
SCAM,other_scam,EXTRACT,5.0,1/8
NO_SCAM,normal,EXTRACT,1.0,2/8
NO_SCAM,normal,EXTRACT,1.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
NO_SCAM,normal,ENGAGE,1.0,2/5
SCAM,other_scam,EXTRACT,5.0,3/8
NO_SCAM,normal,EXTRACT,1.0,4/8
NO_SCAM,normal,EXTRACT,1.0,5/8
NO_SCAM,normal,ENGAGE,1.0,1/5
